*******************************************************************************
Ephemeris / WWW_USER Thu Nov  5 02:30:22 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 65803 Didymos (1996 GT)         {source: JPL#120}
Center body name: Sun (10)                        {source: DE-0431LE-0431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Oct-08 00:00:00.0000 CT 
Stop  time      : A.D. 2020-Oct-11 00:00:00.0000 CT 
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 02
Output type     : GEOMETRIC cartesian states
Coordinate systm: Body Mean Equator and Node of Date                           
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454131.5 ! 2007-Jan-31.00 (TDB)         Residual RMS= .3525         
   EC= .3839121996067163   QR= 1.013230564896817   TP= 2454482.5145586831      
   OM= 73.25567294445189   W=  319.1987828564368   IN= 3.408288701970675       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= 2.2593              
   H= 18.                  G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= Xk                    
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2459130.500000000, A.D. 2020-Oct-08 00:00:00.0000,  1.068909709668053E+08,  1.152111304847673E+08,  2.955007988441199E+06, -2.132517232248214E+01,  2.626873986559934E+01, -2.075488541911954E+00,
2459130.500694444, A.D. 2020-Oct-08 00:01:00.0000,  1.068896914498905E+08,  1.152127066020738E+08,  2.954883458946846E+06, -2.132539147918200E+01,  2.626850365254632E+01, -2.075494600658111E+00,
2459130.501388889, A.D. 2020-Oct-08 00:02:00.0000,  1.068884119198279E+08,  1.152142827052055E+08,  2.954758929089129E+06, -2.132561063207535E+01,  2.626826743753713E+01, -2.075500659116248E+00,
2459130.502083333, A.D. 2020-Oct-08 00:03:00.0000,  1.068871323766147E+08,  1.152158587941662E+08,  2.954634398867764E+06, -2.132582978116276E+01,  2.626803122057122E+01, -2.075506717286375E+00,
2459130.502777778, A.D. 2020-Oct-08 00:04:00.0000,  1.068858528202543E+08,  1.152174348689519E+08,  2.954509868283071E+06, -2.132604892644362E+01,  2.626779500164930E+01, -2.075512775168486E+00,
2459130.503472222, A.D. 2020-Oct-08 00:05:00.0000,  1.068845732507436E+08,  1.152190109295664E+08,  2.954385337334752E+06, -2.132626806791850E+01,  2.626755878077085E+01, -2.075518832762592E+00,
2459130.504166667, A.D. 2020-Oct-08 00:06:00.0000,  1.068832936680863E+08,  1.152205869760055E+08,  2.954260806023143E+06, -2.132648720558680E+01,  2.626732255793654E+01, -2.075524890068680E+00,
2459130.504861111, A.D. 2020-Oct-08 00:07:00.0000,  1.068820140722791E+08,  1.152221630082732E+08,  2.954136274347946E+06, -2.132670633944907E+01,  2.626708633314586E+01, -2.075530947086767E+00,
